top - 11:18:00 up 12 min,  1 user,  load average: 0.66, 0.39, 0.30
Tasks: 354 total,   4 running, 350 sleeping,   0 stopped,   0 zombie
%Cpu(s):  8.3 us, 50.0 sy,  0.0 ni, 25.0 id, 13.3 wa,  0.0 hi,  3.3 si,  0.0 st
MiB Mem :   3878.7 total,   1955.7 free,   1502.7 used,    687.1 buff/cache
MiB Swap:    975.0 total,    975.0 free,      0.0 used.   2376.0 avail Mem

PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
BLACKLISTED:     212 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     214 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     215 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     216 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     217 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     220 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     221 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     222 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     223 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     224 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     226 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     228 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     229 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     230 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     231 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     232 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     233 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     235 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     236 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     237 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     238 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     239 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     241 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     243 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     245 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     246 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     247 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     248 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     249 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     251 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     252 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     253 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     254 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     256 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     258 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     260 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     261 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     262 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     264 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     265 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     266 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     268 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     270 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     272 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     273 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     274 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     275 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     276 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     277 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     278 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     279 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     280 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     281 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     282 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     283 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
WHITELISTED:     299 root      20   0       0      0      0 I   0.0   0.0   0:02.06 kworker+
WHITELISTED:     308 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker+
WHITELISTED:     309 root      20   0       0      0      0 I   0.0   0.0   0:00.09 kworker+
WHITELISTED:     311 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
BLACKLISTED:     328 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     329 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     396 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
BLACKLISTED:     453 root      20   0   50956  16512  14988 S   0.0   0.4   0:01.07 systemd+
WHITELISTED:     471 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
BLACKLISTED:     478 root      20   0  152264   3852   1536 S   0.0   0.1   0:00.00 vmware-+
BLACKLISTED:     483 root      20   0   29800   8792   4824 S   0.0   0.2   0:00.54 systemd+
BLACKLISTED:     485 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
BLACKLISTED:     512 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
BLACKLISTED:     543 root      20   0    8264   7352   1664 S   0.0   0.2   0:00.37 haveged
BLACKLISTED:     550 systemd+  20   0   91352   7680   6784 S   0.0   0.2   0:00.08 systemd+
BLACKLISTED:     560 root      20   0  242448  12492   7296 S   0.0   0.3   0:02.06 vmtoolsd
BLACKLISTED:     580 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
BLACKLISTED:     667 root      20   0  311240   9304   6476 S   0.0   0.2   0:00.15 account+
BLACKLISTED:     671 message+  20   0   11828   6528   4224 S   0.0   0.2   0:00.99 dbus-da+
BLACKLISTED:     673 polkitd   20   0  384680  10352   7280 S   0.0   0.3   0:00.85 polkitd
BLACKLISTED:     676 root      20   0   18196   8448   7424 S   0.0   0.2   0:00.27 systemd+
BLACKLISTED:     688 root     -51   0       0      0      0 S   0.0   0.0   0:00.06 irq/57-+
BLACKLISTED:     689 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/58-+
BLACKLISTED:     692 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/59-+
WHITELISTED:     694 root      20   0       0      0      0 I   0.0   0.0   0:00.25 kworker+
BLACKLISTED:     707 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
BLACKLISTED:     714 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rpciod
BLACKLISTED:     715 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xprtiod
BLACKLISTED:     719 root      20   0  334020  21184  16496 S   0.0   0.5   0:00.36 Network+
BLACKLISTED:     726 root      20   0    7016   2176   2048 S   0.0   0.1   0:00.02 cron
BLACKLISTED:     766 root      20   0  391212  11736  10200 S   0.0   0.3   0:00.20 ModemMa+
WHITELISTED:     958 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
BLACKLISTED:    1077 root      20   0  314608  10284   7424 S   0.0   0.3   0:00.08 gdm3
BLACKLISTED:    1155 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
